date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
111201,0.00,6.00,0.75,5.25,5.00,7.00    6, 1, 3, 8
111207,1.00,3.25,1.00,5.75,5.50,6.00    6, 0, 4, 6
111208,1.50,3.00,1.75,5.00,6.50,6.00    5, 0, 4, 5
111209,1.50,0.00,1.00,5.00,9.00,7.00    5, 0, 4, 5
111212,3.00,5.25,0.00,6.25,4.00,7.00    5, 0, 4, 5
111213,0.00,2.50,1.00,8.00,7.50,7.50    6, 1, 4, 5
111214,0.00,0.00,0.00,13.5,4.50,6.00    6, 1, 4, 5
111215,3.50,3.25,4.25,6.75,5.00,6.00    6, 2, 3, 4
111219,4.75,3.50,1.50,2.50,4.50,6.00    6, 0, 5, 6
111220,1.00,4.75,5.00,3.00,5.50,5.50    6, 0, 5, 6
111221,3.00,4.00,1.00,5.00,4.50,5.00    6, 1, 4, 0
111222,4.50,0.00,4.00,5.00,1.00,7.00    6, 1, 3, 3
111223,1.00,5.75,1.00,5.50,5.50,7.00    6, 2, 2, 6
111226,1.25,1.75,2.00,3.50,8.00,6.00    6, 0, 5, 6
111227,2.50,2.00,1.25,6.00,1.50,4.00    6, 1, 4, 10
111228,2.50,3.50,0.00,6.50,4.00,8.00    6, 1, 4, 8
111229,1.00,4.25,3.00,6.75,1.00,7.00    6, 1, 4, 9
111230,3.00,2.50,0.50,6.00,3.50,7.00    6, 1, 3, 5
111231,6.50,0.00,0.50,5.00,5.00,7.00    6, 2, 2, 7


