date,tI,tO,tC,tM,tF,tS
110301,0.00,2.50,2.50,4.00,2.50,7.50
110302,3.25,0.75,5.25,7.50,5.75,5.50
110303,0.00,4.50,0.50,5.50,5.00,7.00
110304,3.00,4.50,0.50,4.00,4.50,7.00
110307,0.00,5.00,5.00,2.00,4.00,7.00
110308,0.00,7.50,2.50,3.00,5.00,7.00
110309,0.00,7.00,1.00,6.50,1.00,6.00
110310,0.00,3.00,4.50,4.00,2.50,7.00
110311,1.00,12.5,0.00,3.00,1.50,7.00
110312,1.00,6.50,1.00,5.50,1.50,5.00
110314,0.00,5.75,3.50,2.50,1.75,7.00
110315,5.00,1.50,1.75,7.25,1.00,7.50
110316,3.00,5.00,1.00,5.00,2.00,6.50
110317,0.00,4.50,0.00,7.50,1.50,6.50
110321,1.75,2.25,0.00,10.0,1.00,7.00
110322,0.00,4.75,3.25,5.50,3.00,7.00
110323,0.00,8.50,2.00,2.00,2.00,6.50
110324,2.75,5.25,0.00,6.25,1.50,7.00
110325,0.75,5.00,2.50,6.25,2.00,6.00
110326,2.25,1.00,0.00,7.50,3.75,6.50
110328,2.60,2.75,0.40,6.00,2.00,7.00
110329,4.75,4.50,2.50,3.50,1.00,5.00
110330,0.00,6.75,1.50,4.75,3.50,6.50
110331,0.00,10.0,2.50,3.50,1.00,6.50
