date,tI,tO,tC,tM,tF,tS
110503,4.00,4.75,2.00,1.75,3.50,8.00
110504,1.25,4.50,2.25,2.50,5.00,7.00
110505,0.00,1.75,4.75,3.00,6.00,7.00
110506,1.75,2.25,1.00,5.50,4.00,7.50
110507,1.50,3.50,0.00,7.25,4.00,8.50
110509,3.00,3.50,0.00,6.50,3.50,8.00
110510,5.00,2.75,2.25,4.50,2.50,7.50
110511,3.00,4.75,1.25,3.25,5.50,7.00
110512,1.50,7.25,3.25,4.00,4.00,6.50
110513,0.00,4.75,0.00,6.75,5.50,7.00
110516,0.00,6.00,0.00,4.50,3.50,7.00
110517,0.00,5.50,1.00,4.50,4.25,7.50
110518,2.75,3.25,1.50,4.00,3.75,8.00
110519,0.00,4.00,3.50,4.50,4.00,8.00
110520,2.25,2.50,0.00,5.75,5.50,7.50
110521,1.00,3.25,1.50,6.75,4.00,7.00
110523,0.00,5.35,1.75,4.60,4.00,7.50
110524,2.50,1.50,0.30,6.75,5.00,7.00
110525,0.00,4.25,1.00,5.75,5.00,7.00
110526,1.00,3.50,4.75,5.50,0.50,6.00
110527,0.00,3.75,0.00,8.75,4.00,7.50
110530,1.00,1.75,2.00,7.25,5.00,7.50
110531,1.00,2.00,2.25,6.75,3.50,7.50



