date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
130201,4.00,2.00,5.50,2.00,1.00,1.00    6, 1, 1, 4
130202,0.00,4.00,2.00,4.00,3.00,9.00    0, 0, 0, 0
130204,5.75,4.25,4.25,2.25,1.00,7.00    6, 1, 1, 4
130218,0.00,3.00,1.50,0.50,8.00,8.00    6, 1, 1, 1
130219,0.00,2.75,2.00,1.25,10.25,7.0    6, 1, 1, 7
130220,0.00,3.75,3.00,0.00,9.50,7.00    6, 1, 1, 6
130221,3.25,1.50,3.75,1.00,7.00,7.00    6, 1, 1, 4
130222,4.25,0.75,0.00,4.75,6.75,7.00    6, 1, 1, 4
130225,0.00,6.75,0.75,2.00,6.50,7.00    6, 1, 1, 6
130226,0.00,2.00,2.25,3.75,7.50,9.00    6, 1, 1, 6
130227,2.00,4.25,0.00,2.00,7.50,6.00    6, 1, 1, 3
130228,1.50,4.50,3.00,1.00,6.00,7.00    6, 0, 2, 6

