date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
111008,2.20,4.85,1.25,3.50,4.00,7.00    5, 1, 2, 4
111009,1.25,3.50,2.25,5.50,5.00,7.00    5, 2, 1, 4
111010,1.00,4.00,2.00,4.25,5.50,6.00    5, 2, 0, 4
111011,0.50,3.25,3.50,6.00,4.00,7.00    5, 0, 2, 5
111012,3.00,3.50,1.50,5.50,4.00,7.00    5, 0, 2, 4
111013,1.50,7.00,4.75,4.75,1.00,6.00    5, 2, 2, 2
111014,1.50,7.50,2.25,0.75,4.50,6.00    5, 1, 3, 5
111017,0.00,4.00,0.50,7.00,4.00,7.00    5, 1, 3, 4
111018,1.75,3.50,0.00,5.50,4.50,7.00    5, 2, 1, 2
111019,1.00,3.50,5.00,3.00,1.00,7.00    5, 1, 2, 4
111020,0.00,4.50,6.00,4.00,1.00,7.00    6, 1, 2, 4
111021,0.00,3.75,2.50,5.00,4.00,7.00    6, 2, 3, 5
111024,0.00,5.50,0.50,7.25,4.00,7.00    6, 1, 4, 6
111025,0.00,7.00,3.00,3.00,4.00,7.00    6, 1, 4, 8
111026,1.00,3.25,2.50,5.00,4.50,6.50    5, 3, 1, 2
111027,1.25,5.50,3.75,4.50,1.50,7.00    5, 2, 2, 3
111028,0.50,7.00,0.50,4.00,6.00,7.00    5, 1, 3, 4
111031,1.75,5.50,0.75,4.00,4.50,7.00    5, 1, 3, 5


