date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
120801,2.00,8.50,1.50,2.75,2.00,7.00    6, 1, 2, 8
120802,2.00,7.00,2.50,3.25,2.00,6.00    6, 1, 0, 2
120803,0.75,4.75,2.75,2.00,0.75,6.00    6, 1, 0, 4
120806,0.00,7.75,2.25,4.75,2.50,8.00    6, 3, 0, 6
120807,0.50,7.50,2.00,3.50,2.75,7.00    3, 3, 0, 4
120808,1.00,5.50,3.00,3.00,3.25,7.00    6, 3, 0, 7
120809,0.00,7.25,2.00,1.75,3.25,7.00    6, 2, 1, 13
120810,0.00,6.50,0.50,1.00,5.00,7.00    6, 1, 1, 5
120813,0.00,8.00,0.50,3.25,3.75,6.50    6, 1, 2, 7
120814,0.00,7.25,0.00,2.75,2.50,7.00    6, 1, 2, 6
120815,3.25,6.50,0.00,2.00,3.75,7.00    6, 1, 0, 8
120816,2.00,6.50,1.25,3.00,4.00,7.00    6, 1, 2, 8
120817,2.50,6.25,1.00,2.50,5.00,7.00    6, 1, 1, 3
120817,0.75,10.75,0.0,4.00,1.00,7.00    6, 1, 2, 5
120821,3.00,4.00,1.75,3.00,3.50,7.00    6, 2, 1, 7
120822,0.00,7.75,1.50,3.00,3.00,7.00    6, 2, 1, 12
120823,0.00,8.25,4.00,2.00,1.50,7.00    6, 1, 2, 11
120829,2.00,4.50,3.25,2.00,2.75,7.00    6, 1, 1, 9
120830,1.00,4.25,5.00,3.75,1.00,7.00    6, 1, 1, 3
120831,1.00,4.00,9.00,0.00,3.25,7.00    6, 1, 1, 4
