date,tI,tO,tC,tM,tF,tS
110601,0.00,2.75,1.00,6.00,5.75,10.0
110602,1.00,2.00,3.00,8.50,1.00,6.50
110603,1.00,2.50,2.00,6.50,4.00,7.50
110607,1.75,1.75,0.00,8.25,5.00,7.50
110608,0.00,0.00,0.00,3.00,13.0,8.00
110609,2.00,3.00,2.00,4.00,1.50,11.0
110610,0.50,4.00,0.75,3.75,6.75,8.25
110613,1.00,3.50,1.00,6.25,4.00,8.00
110614,3.25,2.75,0.00,4.75,5.25,8.00
110615,1.00,2.50,1.50,6.00,6.00,8.00
110616,0.00,3.25,0.75,6.50,6.00,7.00
110617,1.50,2.25,2.00,5.00,4.00,7.50
110620,1.00,2.50,0.00,8.50,1.00,7.50
110621,0.00,3.00,1.00,8.00,1.00,7.50
110622,0.00,3.50,1.00,7.00,5.00,7.50
110627,2.00,1.00,0.50,6.00,5.50,9.50
110628,1.00,1.50,2.50,5.50,5.75,6.00


