date,tI,tO,tC,tM,tF,tS
101201,0.0,8.75,4.25,4.0,2.0,5.5
101202,1.0,6.25,1.5,2.0,2.0,4.5
101203,0.0,8.0,1.0,4.5,2.0,7.5
101206,1.0,5.0,5.75,3.75,2.5,7.0
101207,0.0,7.0,2.75,6.0,2.0,5.5
101208,0.0,10.5,2.75,2.5,2.0,7.0
101209,0.0,11.0,2.0,4.0,2.0,5.0
101210,0.0,5.5,2.75,2.5,2.0,5.0
101213,0.0,6.5,0.75,6.25,2.0,7.0
101214,0.0,3.5,2.75,6.25,5.0,7.0
101215,0.0,5.25,2.25,6.5,5.0,7.5
101216,3.5,5.5,0.5,5.5,2.0,6.0
101217,0.0,0.0,2.75,12.5,2.0,6.0
101220,0.0,2.75,4.0,4.0,5.0,7.0
101221,0.0,4.25,1.5,5.75,5.0,6.0
101222,0.0,5.5,1.0,4.5,2.0,7.0
101223,0.5,1.5,1.0,10.5,5.0,5.5,6.5
101227,0.0,1.75,3.25,8.0,5.0,6.0
101228,1.75,2.25,1.75,8.5,5.0,5.5
101229,4.5,4.5,1.75,2.75,4.5,5.5
101230,0.0,2.75,2.75,6.5,5.5,5.0
101231,0.0,2.0,1.5,6.5,7.0,7.5

