date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
130105,0.00,0.75,1.00,5.75,7.00,7.00    6, 1, 1, 4
130114,3.75,0.50,4.75,1.25,6.75,7.00    6, 1, 1, 3
130115,0.00,2.25,2.25,3.00,9.75,7.00    6, 1, 1, 3
130116,1.00,4.50,0.00,3.25,5.00,7.00    6, 1, 1, 3
130118,0.00,4.00,2.00,3.50,7.25,7.00    6, 1, 1, 3
130121,0.00,2.00,1.25,2.75,9.25,7.00    6, 1, 1, 4
130122,0.00,0.00,4.50,2.75,8.75,7.00    6, 1, 1, 8
130123,8.00,1.50,1.00,0.00,5.75,7.00    6, 1, 1, 3
130124,0.00,5.75,1.25,1.25,8.25,7.00    6, 2, 0, 3
130125,0.00,2.75,3.25,1.25,2.25,7.00    6, 2, 0, 0
130129,1.00,0.00,5.00,4.00,6.00,7.00    0, 0, 0, 0
130130,2.50,3.00,4.75,2.00,4.25,7.00    6, 1, 1, 4
130131,0.00,1.50,3.75,1.75,0.75,6.00    6, 1, 1 ,8
