date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
121205,0.00,3.50,1.25,2.00,9.25,7.00    6, 1, 1, 4
121206,0.00,3.50,2.00,3.75,8.00,7.00    6, 1, 1, 4
121207,0.00,2.50,1.00,2.50,11.5,7.00    6, 1, 1, 3
121210,1.00,3.50,2.00,1.00,7.00,7.00    6, 0, 2, 6
121211,0.00,7.00,5.00,2.00,2.50,8.00    6, 1, 0, 8
121212,1.00,2.75,0.00,1.50,12.25,7.0    6, 1, 1, 6
121213,1.00,2.50,1.00,2.25,8.75,8.00    6, 1, 1, 5
121214,2.75,4.00,0.00,6.35,1.00,7.00    6, 1, 1, 11
121217,3.50,0.00,0.00,3.00,8.50,7.00    6, 1, 1, 2
121218,3.00,4.00,0.75,3.00,6.50,7.00    6, 1, 1, 6
121219,0.00,10.0,0.00,0.00,5.75,7.00    6, 1, 1, 14
121220,0.00,4.25,1.00,1.50,9.50,7.00    6, 1, 1, 11
121225,0.00,2.00,0.00,1.00,11.0,7.00    4, 1, 0, 0
121226,0.00,5.75,0.00,1.25,8.00,7.00    6, 1, 1, 5
121227,0.00,5.75,1.00,0.00,8.50,7.00    6, 1, 1, 9
121228,2.00,6.00,0.00,0.00,7.75,7.00    6, 1, 1, 6
121229,1.00,5.75,0.00,0.00,10.0,7.00    6, 1, 0, 4
