date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
120702,2.00,3.50,1.75,5.25,4.00,8.00    4, 1, 1, 4
120703,2.50,3.25,4.00,2.50,4.75,7.00    6, 0, 2, 6
120704,3.75,4.50,1.00,3.00,3.75,7.00    6, 1, 1, 5
120705,2.50,3.75,2.50,4.25,4.00,7.00    4, 1, 1, 3
120706,4.50,2.75,2.25,2.75,4.00,7.00    4, 1, 1, 3
120709,2.00,1.50,3.50,4.25,3.50,7.00    4, 1, 1, 2
120710,2.75,3.00,4.00,1.75,3.00,7.00    4, 1, 1, 3
120711,3.50,3.50,2.00,2.00,4.00,7.00    4, 0, 0, 4
120712,3.00,1.25,6.75,1.00,4.00,7.00    4, 1, 1, 2
120713,1.00,6.75,4.50,2.00,1.00,7.00    4, 1, 1, 3
120716,3.25,3.50,2.50,3.50,3.50,7.00    4, 1, 1, 2
120717,1.25,5.25,0.75,5.00,5.00,7.00    6, 2, 1, 8
120718,2.00,6.00,1.00,3.00,4.50,7.00    6, 3, 0, 5
120719,1.75,2.00,3.25,3.00,6.75,7.00    6, 1, 2, 4
120720,1.50,4.00,1.25,5.25,4.75,8.00    6, 2, 0 ,1
120723,1.00,4.50,3.00,3.50,3.75,7.00    4, 1, 1, 3
120724,0.00,2.00,1.00,2.50,11.25,7.00  4, 2, 0, 3
120725,1.75,2.00,1.00,0.50,11.75,7.00  6, 2, 1, 3
120726,0.00,3.75,4.00,1.00,9.00,7.00    6, 3, 0, 3
120727,2.50,2.75,1.00,5.00,5.25,7.00    6, 2, 1, 5
120730,1.00,6.25,1.25,2.00,3.50,7.00    6, 2, 1, 4
120731,1.00,5.75,1.75,2.50,3.50,7.00    6, 3, 0, 4
