date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120104,0.00,2.50,0.00,8.50,5.00,7.00    6, 2, 2, 4
120105,2.00,2.50,0.00,5.00,6.50,7.00    6, 3, 1, 4
120106,2.25,1.00,1.50,5.75,6.00,7.00    6, 2, 2, 4
120109,0.00,3.25,0.75,2.50,5.00,7.00    6, 2, 2, 4
120110,2.25,4.00,0.00,6.75,5.00,6.00    6, 3, 1, 8
120111,2.00,2.50,1.25,7.00,4.00,6.00    6, 3, 1, 2
120112,0.75,1.75,2.00,11.75,1.00,7.0    6, 0, 4, 6
120113,0.00,1.00,3.00,11.5,1.00,7.00    6, 0, 4, 6
120116,2.00,1.00,6.00,7.00,1.00,7.00    6, 0, 3, 6
120117,0.50,4.00,0.00,7.00,5.00,7.00    6, 2, 1, 3
120118,0.00,3.25,7.00,3.75,1.00,7.00    6, 2, 1, 7
120119,2.00 4.25,0.00,5.75,4.50,7.00    6, 1, 2, 8
120130,1.00,3.00,3.75,3.00,5.75,7.00    6, 0, 4, 6
120131,0.50,2.50,3.00,4.50,5.00,9.00    6, 2, 2, 3
