date,tI,tO,tC,tM,tF,tS
101102,1.75,4.25,0.75,6.75,5.0,6.0
101103,0.0,2.0,3.0,5.0,5.0,6.0
101104,0.0,6.35,2.75,4.0,6.5,6.0
101105,2.25,1.0,1.0,6.25,4.75,5.0
101106,0.0,5.5,1.5,4.0,4.0,7.0
101108,0.0,6.5,2.75,3.25,5.0,6.5
101109,0.0,6.5,2.75,2.0,5.0,7.0
101110,2.5,5.0,1.5,4.0,5.0,6.0
101111,0.0,7.75,4.5,3.25,2.0,6.0
101112,0.0,2.5,0.75,4.75,2.0,6.0
101115,0.0,4.5,4.0,5.0,5.0,7.0
101116,0.0,4.5,2.5,3.0,5.0,6.0
101117,0.0,2.5,2.5,7.5,5.5,6.0
101118,0.0,7.5,2.0,2.0,2.5,6.0
101119,1.75,3.5,1.25,5.0,5.0,6.0
101129,0.0,2.25,5.5,7.5,2.0,6.0
101130,0.5,9.0,2.5,5.5,2.0,5.0

