date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
110801,1.50,4.00,1.50,2.50,6.00,9.00    6, 5, 1, 5
110802,1.00,4.25,0.25,6.25,4.75,6.50    5, 5, 0, 2
110803,0.50,6.50,0.00,0.00,12.0,7.00    6, 4, 3, 4
110804,1.75,6.25,4.50,2.25,2.00,5.00    5, 5, 2, 7
110805,0.00,3.25,1.00,3.00,9.00,7.50    5, 4, 2, 8
110808,0.00,1.75,2.25,1.00,6.00,9.50    5, 2, 2, 4
110809,3.50,3.75,0.00,6.25,3.00,6.00    5, 5, 1, 4
110810,0.50,3.50,1.00,3.75,5.00,9.00    5, 3, 0, 0
110811,3.00,3.00,4.00,3.50,2.00,6.00    5, 5, 1, 2
110812,0.00,0.00,0.00,10.0,7.25,7.50    5, 1, 2, 4
110815,0.00,5.25,4.00,4.00,5.00,7.00    6, 2, 2, 3
110816,2.75,7.00,0.50,5.75,1.00,6.00    6, 3, 1, 4
110817,0.00,4.75,0.00,6.35,6.00,8.00    5, 2, 2, 3
110818,0.00,7.75,3.00,0.00,5.25,6.00    5, 2, 1, 2
110818,0.75,4.25,0.00,4.25,7.75,9.00    5, 3, 0, 3
110822,2.00,1.75,2.50,4.00,4.75,7.50    5, 1, 2, 5
110823,2.00,1.25,0.00,6.25,7.00,6.75    5, 2, 1, 3
110824,0.00,8.50,0.00,5.25,2.50,5.00    5, 3, 1, 3
110825,0.50,5.00,5.00,7.50,1.00,7.00    5, 3, 2, 2
110826,0.75,3.25,0.00,7.50,5.00,7.50    5, 2, 3, 4
110829,0.00,4.50,0.00,7.50,5.00,4.00    5, 3, 1, 4
110830,0.50,5.25,0.00,9.00,1.00,6.00    5, 3, 2, 3 
110831,1.25,6.00,0.50,3.00,6.75,6.00    5, 2, 2, 4
