date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
111101,4.50,1.75,0.50,7.00,4.50,7.00    5, 1, 4, 5
111102,5.75,2.00,1.00,1.50,4.00,6.00    5, 1, 3, 5
111103,1.00,3.75,7.25,4.00,1.00,7.00    5, 1, 3, 6
111104,1.50,4.25,2.00,7.00,6.00,7.00    5, 1, 3, 5
111107,0.00,3.00,1.50,6.50,5.00,6.00    5, 2, 2, 6
111108,2.50,4.00,2.00,4.00,4.00,7.00    5, 1, 3, 6
111110,3.50,4.00,0.75,5.00,4.50,7.00    5, 3, 2, 3
111111,1.25,4.75,0.50,6.00,4.75,6.50    6, 3, 2, 3
111114,1.50,4.25,0.00,5.25,4.00,6.00    6, 1, 3, 6
111115,3.75,2.75,1.50,5.00,5.00,7.00    6, 1, 4, 8
111116,1.75,1.00,0.50,7.50,4.00,7.00    6, 2, 2, 4
111117,0.00,1.50,6.50,7.50,1.00,7.50    6, 2, 2, 4
111118,0.00,2.75,1.00,4.50,5.00,7.00    6, 3, 1, 4
111121,1.00,2.50,0.00,9.75,4.50,7.00    6, 3, 1, 4
111122,1.00,2.75,0.00,9.00,4.00,7.00    6, 4, 0, 3
111123,0.00,5.75,0.00,7.50,4.50,6.00    6, 4, 0, 3
111124,0.00,3.50,2.50,8.00,1.50,6.50    6, 3, 1, 4
111125,0.00,4.00,1.50,6.00,4.00,7.00    6, 3, 1, 4
111128,0.00,4.50,1.50,6.50,5.00,7.00    6, 3, 1, 3
111129,1.00,3.00,1.00,5.00,6.50,7.00    6, 3, 1, 3
111130,1.50,3.00,0.00,7.25,5.00,6.50    6, 4, 0, 3



