date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120201,0.00,3.50,1.25,7.75,5.00,5.50    6, 0, 4, 6
120202,1.50,3.75,5.75,5.50,1.00,6.50    6, 2, 2, 3
120203,1.00,0.50,3.75,6.50,5.50,6.00    6, 1, 4, 5
120206,0.00,4.75,1.75,4.00,5.50,7.00    6, 1, 3, 4
120207,1.50,2.00,4.00,6.00,4.50,6.50    6, 0, 4, 6
120208,0.00,3.75,1.50,6.75,4.50,6.00    6, 2, ,2 7
120209,1.50,2.75,6.00,3.50,1.25,7.00    6, 2, 2, 3
120210,0.00,3.50,0.50,5.00,4.50,6.00    6, 2, 2, 5
120213,2.00,8.75,2.50,1.00,4.50,6.00    6, 0, 4, 6
120214,1.25,3.00,1.75,6.50,4.50,5.00    6, 1, 1, 6
120215,4.00,4.00,1.75,1.00,5.50,6.00    6, 1, 3, 4
120216,3.50,4.25,3.00,5.75,1.00,6.00    6, 1, 2, 4
120217,1.25,1.50,3.00,6.00,4.50,6.00    6, 0, 0, 6
120220,3.50,2.50,0.50,6.00,5.50,6.00    6, 1, 2, 7
120221,3.25,1.00,1.00,7.75,4.50,6.00    6, 0, 3, 6
120222,2.25,3.25,0.00,5.50,4.50,6.00    6, 1, 2, 4
120223,0.00,5.75,2.75,6.75,1.00,6.00    6, 1, 2, 4
120224,5.75,0.00,0.00,7.25,4.50,6.00    6, 0, 3, 6
120227,0.75,3.50,1.25,7.00,4.50,7.00    6, 1, 2, 4
120228,0.50,7.25,0.00,4.00,4.50,7.00    6, 0, 3, 6
120229,3.25,4.75,1.00,4.00,4.00,6.00    6, 0, 3, 6



