date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120601,1.00,10.0,6.50,4.50,1.00,6.00    6, 1, 1, 4
120604,1.00,4.50,1.00,3.50,3.75,7.00    6, 2, 0, 7
120605,6.50,2.75,2.50,3.00,1.00,7.00    6, 1, 1, 7
120606,2.25,3.50,6.25,2.00,3.00,7.00    6, 2, 0, 4
120607,3.00,2.75,0.50,5.25,5.00,5.50    6, 2, 0, 1
120608,1.25,2.50,0.75,6.00,6.00,6.00    6, 1, 1, 8
120611,1.00,3.75,0.75,2.50,5.50,6.00    6, 2, 0, 2
120612,2.75,5.25,3.00,1.50,3.75,7.00    6, 2, 0, 9
120613,2.00,2.00,4.75,6.00,3.50,7.00    6, 1, 1, 3
120614,1.00,4.00,3.00,4.75,3.00,6.00    6, 2, 0, 3
120615,1.25,5.00,0.00,5.50,6.00,7.00    6, 1, 1, 5
120618,1.00,4.50,1.50,5.50,4.50,6.00    6, 2, 0, 3
120619,1.00,3.00,2.00,5.00,4.50,5.00    6, 2, 0, 2
120620,0.00,4.25,3.75,5.75,4.50,8.00    6, 1, 1, 9
120625,1.50,1.50,1.50,6.00,4.75,5.50    6, 2, 0, 1
120626,3.00,3.25,0.50,6.25,4.50,6.00    6, 2, 0, 3
120627,1.00,5.50,1.00,4.00,5.00,7.00    6, 2, 1, 8
120628,1.00,3.00,2.00,5.50,2.50,8.00    6, 3, 0, 1
120629,1.00,3.25,2.75,3.50,2.00,8.00    6, 1, 2, 6

