date,tI,tO,tC,tM,tF,tS
110401,0.00,1.00,3.75,7.75,4.25,6.50
110406,0.00,3.00,3.25,6.50,4.25,7.00
110407,3.25,3.25,2.50,10.0,1.50,7.00
110408,4.00,4.00,0.00,8.00,1.50,5.50
110409,0.00,6.25,0.00,6.75,4.00,7.00
110411,0.00,5.00,6.00,4.50,1.00,7.00
110412,1.00,6.50,1.50,7.00,1.50,6.50
110413,1.25,3.75,0.00,7.50,4.00,7.50
110414,2.75,4.00,2.00,6.75,1.00,7.00
110415,2.75,2.00,0.00,7.50,4.25,7.50
110418,0.00,3.75,2.25,7.75,4.00,7.00
110419,4.75,4.00,1.25,5.75,1.50,7.00
110420,0.00,4.50,2.00,6.25,1.00,7.00
110421,1.50,4.00,2.00,4.00,1.00,6.00
110422,1.00,6.25,0.00,8.75,1.00,7.00
110423,4.00,0.00,1.00,6.00,4.00,7.00
110425,0.00,2.75,2.00,5.25,4.50,6.50
110426,0.00,2.00,0.00,6.25,7.00,7.00
110427,2.00,4.50,0.00,4.50,7.00,7.00
110428,1.50,5.50,4.00,2.50,1.00,7.00
110429,1.50,3.50,0.00,6.50,4.00,7.00



