date,tI,tO,tC,tM,tF,tS
110104,0.00,6.50,0.00,5.50,5.00,7.00
110105,1.00,4.50,0.50,5.00,6.00,7.00
110106,2.15,4.75,0.50,6.50,4.50,7.00
110107,0.50,5.75,2.25,6.50,4.00,6.50
110110,1.00,3.00,4.50,1.50,5.00,7.00
110111,1.50,3.50,1.50,7.00,3.00,5.50
110112,2.00,3.00,1.00,6.50,5.00,7.00
110113,6.00,1.75,0.25,6.00,1.50,7.00
110117,0.00,5.25,2.25,5.50,4.00,7.00
110118,0.00,2.50,4.50,5.00,4.00,7.00
110119,1.00.1/50,1.50,5.00,7.00,7.50
110120,3.00,5.00,1.00,3.00,4.00,6.00
110121,2.00,5.25,1.25,3.50,4.00,7.50
110124,1.00,5.50,0.50,5.50,4.00,7.00
110125,0.00,5.50,1.00,6.00,4.50,7.50
110126,1.50,8.75,2.75,2.00,1.00,7.00
110127,2.50,7.50,0.00,3.00,3.50,7.50
110128,0.50,8.00,0.00,3.00,5.50,7.00
110129,2.00,4.50,4.50,3.00,4.00,7.00
