date,tI,tO,tC,tM,tF,tS
101008,1.5,3.0,0.5,5.5,5.5,7.0
101009,0.0,3.0,0.5,5.5,6.5,7.0
101011,3.0,3.0,0.0,5.0,5.0,6.5
101012,0.5,1.5,2.0,6.0,5.0,6.0
101013,1.0,5.0,1.5,5.0,5.0,7.0
101014,6.0,0.0,0.0,6.0,5.0,7.0
101015,0.0,6.0,0.0,6.0,5.0,7.0
101018,0.0,3.25,1.2,8.25,5.0,7.0
101019,0.0,6.0,3.75,3.75,3.25,6.0
101020,1.0,4.0,0.5,9.0,5.0,6.5
101021,0.5,3.0,4.25,7.75,2.0,6.5
101022,0.0,4.25,1.0,6.5,3.75,6.5
101024,1.5,2.75,3.25,4.0,5.0,6.0
101025,0.0,7.5,2.5,6.0,2.0,6.0
101026,2.75,2.3,0.0,6.85,2.0,6.5
101027,0.5,4.0,6.75,4.25,2.0,6.0
101028,0.0,1.0,1.0,4.5,2.0,5.5
101029,0.0,10.5,0.0,5.25,2.0,7.0
101030,1.5,8.5,2.0,1.5,2.0,6.00
