date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120301,3.75,4.50,2.00,3.50,4.25,6.00    6, 0, 3, 6
120302,5.75,2.25,0.00,3.00,5.00,6.00    6, 0, 3, 6
120305,0.00,8.75,1.00,3.25,6.00,6.00    6, 0, 3, 6
120306,4.00,1.25,2.00,4.00,6.50,6.00    6, 0, 3, 6
120307,2.00,5.50,1.00,4.00,5.00,6.00    6, 0, 3, 6
120308,0.75,6.00,5.00,3.00,2.50,6.00    6, 1, 1, 4
120309,0.00,7.50,1.74,1.75,4.50,6.00    6, 1, 1, 2
120312,2.50,2.50,1.00,5.75,4.00,6.00    6, 1, 2, 5
120213,1.75,3.00,6.25,4.75,0.75,6.00    6, 1, 2, 4
120314,0.00,4.75,1.25,5.25,4.50,6.00    6, 0, 3, 6
120315,0.00,2.00,0.50,7.50,2.50,6.00    6, 1, 2, 4
120316,2.00,5.00,0.00,5.75,4.50,7.00    6, 1, 2, 5
120319,0.00,3.00,2.00,6.00,4.50,6.00    6, 2, 2, 7
120320,1.00,7.00,2.50,3.50,4.50,7.00    6, 1, 1, 8
120321,0.00,4.25,1.25,7.00,4.00,7.00    6, 2, 1, 6
120322,1.50,2.75,3.00,8.00,2.25,7.00    6, 0, 3, 6
120323,1.00,5.00,0.00,7.00,4.50,7.00    6, 1, 1, 4
120326,2.75,1.00,0.00,8.00,7.00,7.00    6, 0, 2, 6
120327,1.00,8.00,2.00,1.25,3.00,7.00    6, 0, 2, 6
120328,0.00,7.25,0.00,1.50,9.50,6.00    6, 1, 1, 5
120329,4.00,0.00,2.75,3.75,8.00,5.00    6, 0, 3, 6
120330,6.00,1.50,0.00,4.50,8.50,6.00    6, 0, 3, 6
120331,6.25,1.00,0.00,4.25,7.00,6.00    4, 0, 0, 4




