"活动类别","持续时间","开始时间","结束时间","备注"
"工作","02:35","2014-04-01 21:37","2014-04-02 00:13",""
"交通","00:04","2014-04-01 21:32","2014-04-01 21:37",
"Chaos","00:00","2014-04-01 21:32","2014-04-01 21:32",
"用餐","01:45","2014-04-01 19:46","2014-04-01 21:32",""
"交流","00:43","2014-04-01 19:03","2014-04-01 19:46",
"工作","00:39","2014-04-01 18:24","2014-04-01 19:03",
"交流","01:16","2014-04-01 17:07","2014-04-01 18:24",""
"Chaos","00:47","2014-04-01 16:19","2014-04-01 17:07",
"交流","04:01","2014-04-01 12:17","2014-04-01 16:19",""
"Chaos","01:00","2014-04-01 11:16","2014-04-01 12:17",
"工作","00:19","2014-04-01 10:57","2014-04-01 11:16",
"Chaos","01:05","2014-04-01 09:51","2014-04-01 10:57",
"用餐","00:23","2014-04-01 09:28","2014-04-01 09:51",
"Chaos","00:00","2014-04-01 09:28","2014-04-01 09:28",
"睡眠","07:27","2014-04-01 02:01","2014-04-01 09:28",
"阅读","00:10","2014-04-01 01:50","2014-04-01 02:01",
"Chaos","02:16","2014-03-31 23:33","2014-04-01 01:50",""
"Chaos","00:20","2014-03-31 23:13","2014-03-31 23:33",
"GDG","01:55","2014-03-31 21:17","2014-03-31 23:13",""
"用餐","02:27","2014-03-31 18:50","2014-03-31 21:17",""
"工作","01:34","2014-03-31 17:16","2014-03-31 18:50",
"家务","00:02","2014-03-31 17:13","2014-03-31 17:16",
"工作","01:42","2014-03-31 15:31","2014-03-31 17:13",
"Chaos","00:42","2014-03-31 14:49","2014-03-31 15:31",
"用餐","00:18","2014-03-31 14:30","2014-03-31 14:49",
"Chaos","00:50","2014-03-31 13:40","2014-03-31 14:30",
"Chaos","01:00","2014-03-31 12:40","2014-03-31 13:40",""
"交流","01:13","2014-03-31 11:26","2014-03-31 12:40",""
"工作","00:23","2014-03-31 11:03","2014-03-31 11:26",
"购物","00:00","2014-03-31 10:55","2014-03-31 10:55",
"购物","00:08","2014-03-31 10:55","2014-03-31 11:03",
"工作","00:21","2014-03-31 10:33","2014-03-31 10:55",
"Chaos","00:38","2014-03-31 09:54","2014-03-31 10:33",
"用餐","00:43","2014-03-31 09:10","2014-03-31 09:54",
"交通","00:13","2014-03-31 08:57","2014-03-31 09:10",
"Chaos","00:26","2014-03-31 08:31","2014-03-31 08:57",
"睡眠","05:21","2014-03-31 03:09","2014-03-31 08:31",
"Chaos","05:49","2014-03-30 21:20","2014-03-31 03:09",
"交通","01:00","2014-03-30 20:21","2014-03-30 21:22",""
"交流","11:31","2014-03-30 08:50","2014-03-30 20:21",""
"交通","01:50","2014-03-30 07:00","2014-03-30 08:50",""
"睡眠","07:16","2014-03-29 23:44","2014-03-30 07:00",""
"交通","00:05","2014-03-29 23:14","2014-03-29 23:20",""
"Chaos","00:57","2014-03-29 22:17","2014-03-29 23:14",
"交通","01:52","2014-03-29 20:24","2014-03-29 22:17",
"交流","05:09","2014-03-29 15:14","2014-03-29 20:24",""
"Chaos","01:10","2014-03-29 14:04","2014-03-29 15:14",
"上网","00:00","2014-03-29 14:04","2014-03-29 14:04",
"Chaos","00:01","2014-03-29 14:03","2014-03-29 14:04",
"用餐","01:08","2014-03-29 12:54","2014-03-29 14:03",
"Chaos","02:06","2014-03-29 10:48","2014-03-29 12:54",
