"活动类别","持续时间","开始时间","结束时间","备注"
"Chaos","01:34","2014-09-01 23:02","2014-09-02 00:37",
"交通","00:23","2014-09-01 22:38","2014-09-01 23:02",
"用餐","02:11","2014-09-01 20:27","2014-09-01 22:38",
"娱乐","04:49","2014-09-01 15:37","2014-09-01 20:27",
"用餐","01:12","2014-09-01 14:25","2014-09-01 15:37",
"交通","02:27","2014-09-01 11:57","2014-09-01 14:25",
"娱乐","00:16","2014-09-01 11:41","2014-09-01 11:57",
"Chaos","01:20","2014-09-01 10:21","2014-09-01 11:41",""
"家务","01:00","2014-09-01 09:20","2014-09-01 10:20",""
"睡眠","08:57","2014-09-01 00:22","2014-09-01 09:20",""
"家务","01:17","2014-08-31 23:05","2014-09-01 00:22",""
"Chaos","01:00","2014-08-31 22:05","2014-08-31 23:05",""
"用餐","05:22","2014-08-31 16:42","2014-08-31 22:05",""
"Chaos","03:48","2014-08-31 12:53","2014-08-31 16:42",
"交通","01:41","2014-08-31 11:12","2014-08-31 12:53",
"家务","01:01","2014-08-31 10:10","2014-08-31 11:12",
"睡眠","08:32","2014-08-31 01:37","2014-08-31 10:10",
"Chaos","00:58","2014-08-31 00:39","2014-08-31 01:37",
"交流","02:34","2014-08-30 22:04","2014-08-31 00:39",
"交通","00:33","2014-08-30 21:30","2014-08-30 22:04",
"GDG","07:54","2014-08-30 13:36","2014-08-30 21:30",""
"交流","02:00","2014-08-30 11:35","2014-08-30 13:35",""
"Chaos","00:12","2014-08-30 11:22","2014-08-30 11:35",""
"用餐","00:39","2014-08-30 10:43","2014-08-30 11:22",
"家务","00:52","2014-08-30 09:50","2014-08-30 10:43",
"睡眠","07:17","2014-08-30 02:33","2014-08-30 09:50",
"Chaos","00:46","2014-08-30 01:46","2014-08-30 02:33",
"用餐","03:23","2014-08-29 22:22","2014-08-30 01:46",
"Chaos","01:07","2014-08-29 21:15","2014-08-29 22:22",
"运动","01:00","2014-08-29 20:15","2014-08-29 21:15",""
"交流","03:29","2014-08-29 16:45","2014-08-29 20:15",""
"用餐","01:16","2014-08-29 15:29","2014-08-29 16:45",
"交流","03:22","2014-08-29 12:06","2014-08-29 15:29",
"GDG","00:59","2014-08-29 11:05","2014-08-29 12:05",""
"用餐","01:00","2014-08-29 10:05","2014-08-29 11:05",""
"Chaos","01:00","2014-08-29 09:05","2014-08-29 10:05",""
"睡眠","08:13","2014-08-29 00:51","2014-08-29 09:05",""
"Chaos","00:37","2014-08-29 00:14","2014-08-29 00:51",
"睡眠","00:00","2014-08-29 00:14","2014-08-29 00:14",
