"活动类别","持续时间","开始时间","结束时间","备注"
"Chaos","07:32","2014-05-01 17:20","2014-05-02 00:52",
"交通","00:41","2014-05-01 16:38","2014-05-01 17:20",
"家务","00:00","2014-05-01 16:38","2014-05-01 16:38",
"用餐","03:26","2014-05-01 13:11","2014-05-01 16:38",
"娱乐","03:12","2014-05-01 09:58","2014-05-01 13:11",
"家务","00:58","2014-05-01 09:00","2014-05-01 09:58",
"睡眠","04:16","2014-05-01 04:43","2014-05-01 09:00",
"Chaos","07:08","2014-04-30 21:34","2014-05-01 04:43",
"家务","02:04","2014-04-30 19:30","2014-04-30 21:34",
"用餐","00:04","2014-04-30 19:25","2014-04-30 19:30",
"交通","00:15","2014-04-30 19:10","2014-04-30 19:25",
"交流","02:08","2014-04-30 17:01","2014-04-30 19:10",""
"阅读","01:37","2014-04-30 15:24","2014-04-30 17:01",
"Chaos","00:15","2014-04-30 15:08","2014-04-30 15:24",
"购物","00:08","2014-04-30 14:59","2014-04-30 15:08",
"交通","00:15","2014-04-30 14:43","2014-04-30 14:59",
"Chaos","01:56","2014-04-30 12:47","2014-04-30 14:43",""
"GDG","00:56","2014-04-30 11:51","2014-04-30 12:47",
"Chaos","00:38","2014-04-30 11:12","2014-04-30 11:51",
"OBP","00:29","2014-04-30 10:43","2014-04-30 11:12",""
"GDG","01:35","2014-04-30 09:08","2014-04-30 10:43",
"Chaos","00:14","2014-04-30 08:53","2014-04-30 09:08",
"交通","00:34","2014-04-30 08:19","2014-04-30 08:53",
"Chaos","00:00","2014-04-30 07:52","2014-04-30 07:52",
"家务","00:26","2014-04-30 07:52","2014-04-30 08:19",
"睡眠","06:42","2014-04-30 01:10","2014-04-30 07:52",
"Chaos","01:07","2014-04-30 00:02","2014-04-30 01:09",
"交通","00:37","2014-04-29 23:24","2014-04-30 00:02",
"Chaos","00:00","2014-04-29 23:24","2014-04-29 23:24",
"OBP","02:24","2014-04-29 21:00","2014-04-29 23:24",
"交通","00:12","2014-04-29 20:48","2014-04-29 21:00",
"用餐","00:29","2014-04-29 20:18","2014-04-29 20:48",
"电影","01:37","2014-04-29 18:41","2014-04-29 20:18",
"Chaos","00:36","2014-04-29 18:04","2014-04-29 18:41",
"OBP","00:57","2014-04-29 17:07","2014-04-29 18:04",
"Chaos","01:18","2014-04-29 15:49","2014-04-29 17:07",
"阅读","00:40","2014-04-29 15:09","2014-04-29 15:49",
"工作","00:33","2014-04-29 14:35","2014-04-29 15:09",
"交通","00:10","2014-04-29 14:25","2014-04-29 14:35",
"Chaos","01:42","2014-04-29 12:43","2014-04-29 14:25",""
"交通","00:23","2014-04-29 12:19","2014-04-29 12:43",
"上网","00:00","2014-04-29 12:19","2014-04-29 12:19",
"GDG","00:00","2014-04-29 12:19","2014-04-29 12:19",
"Chaos","00:51","2014-04-29 11:27","2014-04-29 12:19",
"工作","01:21","2014-04-29 10:05","2014-04-29 11:27",
"GDG","01:04","2014-04-29 09:01","2014-04-29 10:05",
"交通","00:37","2014-04-29 08:24","2014-04-29 09:01",
"睡眠","07:05","2014-04-29 01:18","2014-04-29 08:24",
"学习","00:00","2014-04-29 01:18","2014-04-29 01:18",
"睡眠","00:00","2014-04-29 01:18","2014-04-29 01:18",
"GDG","00:36","2014-04-29 00:41","2014-04-29 01:18",
"Chaos","04:48","2014-04-28 19:52","2014-04-29 00:41",""
"用餐","01:27","2014-04-28 18:25","2014-04-28 19:52",""
"工作","00:48","2014-04-28 17:36","2014-04-28 18:25",
"工作","02:54","2014-04-28 14:42","2014-04-28 17:36",
"交通","00:23","2014-04-28 14:18","2014-04-28 14:42",
"Chaos","00:22","2014-04-28 13:55","2014-04-28 14:18",
"用餐","00:41","2014-04-28 13:13","2014-04-28 13:55",
"交通","00:12","2014-04-28 13:01","2014-04-28 13:13",
"GDG","00:30","2014-04-28 12:31","2014-04-28 13:01",
"工作","02:11","2014-04-28 10:19","2014-04-28 12:31",
"GDG","00:48","2014-04-28 09:31","2014-04-28 10:19",
"Chaos","00:14","2014-04-28 09:16","2014-04-28 09:31",
"用餐","00:27","2014-04-28 08:49","2014-04-28 09:16",
"家务","00:30","2014-04-28 08:19","2014-04-28 08:49",
"睡眠","07:39","2014-04-28 00:39","2014-04-28 08:19",""
"Chaos","03:40","2014-04-27 21:00","2014-04-28 00:40",""
"家务","02:00","2014-04-27 19:00","2014-04-27 21:00",""
"交流","02:57","2014-04-27 15:42","2014-04-27 18:39",""
"GDG","01:12","2014-04-27 14:29","2014-04-27 15:42",
"交通","00:39","2014-04-27 13:50","2014-04-27 14:29",
"Chaos","00:45","2014-04-27 13:04","2014-04-27 13:49",
"运动","02:46","2014-04-27 10:18","2014-04-27 13:04",
"家务","01:12","2014-04-27 09:06","2014-04-27 10:18",
"睡眠","08:49","2014-04-27 00:16","2014-04-27 09:06",
"交通","02:21","2014-04-26 21:55","2014-04-27 00:16",
"购物","02:13","2014-04-26 19:42","2014-04-26 21:55",
"家务","01:46","2014-04-26 17:56","2014-04-26 19:42",
"睡眠","02:07","2014-04-26 15:48","2014-04-26 17:56",
"家务","03:36","2014-04-26 12:12","2014-04-26 15:48",
"Chaos","03:49","2014-04-26 08:23","2014-04-26 12:12",
"睡眠","08:55","2014-04-25 23:27","2014-04-26 08:23",
"Chaos","01:29","2014-04-25 21:58","2014-04-25 23:27",
"家务","03:04","2014-04-25 18:53","2014-04-25 21:58",""
"GDG","01:04","2014-04-25 17:48","2014-04-25 18:53",
"家务","00:12","2014-04-25 17:36","2014-04-25 17:48",
"工作","00:38","2014-04-25 16:57","2014-04-25 17:36",""
"GDG","01:23","2014-04-25 15:34","2014-04-25 16:57",
"交流","00:21","2014-04-25 15:13","2014-04-25 15:34",
"工作","00:22","2014-04-25 14:50","2014-04-25 15:13",
"Chaos","01:57","2014-04-25 12:52","2014-04-25 14:50",
"工作","00:21","2014-04-25 12:31","2014-04-25 12:52",
"GDG","00:00","2014-04-25 12:31","2014-04-25 12:31",
"交流","00:42","2014-04-25 11:48","2014-04-25 12:31",""
"交流","00:14","2014-04-25 11:34","2014-04-25 11:48",
"工作","01:20","2014-04-25 10:13","2014-04-25 11:34",
"GDG","00:40","2014-04-25 09:32","2014-04-25 10:13",
"家务","00:04","2014-04-25 09:28","2014-04-25 09:32",
"GDG","00:02","2014-04-25 09:25","2014-04-25 09:28",
"工作","00:31","2014-04-25 08:53","2014-04-25 09:25",
"家务","01:54","2014-04-25 06:58","2014-04-25 08:53",
"睡眠","06:21","2014-04-25 00:37","2014-04-25 06:58",
"Chaos","01:51","2014-04-24 22:45","2014-04-25 00:37",
"交流","04:48","2014-04-24 17:57","2014-04-24 22:45",""
"工作","02:19","2014-04-24 15:37","2014-04-24 17:57",
"交流","01:04","2014-04-24 14:33","2014-04-24 15:37",
"Chaos","00:03","2014-04-24 14:29","2014-04-24 14:33",
"交通","00:16","2014-04-24 14:13","2014-04-24 14:29",
"Chaos","02:17","2014-04-24 11:55","2014-04-24 14:13",
"GDG","01:15","2014-04-24 10:39","2014-04-24 11:55",""
"交流","00:24","2014-04-24 10:14","2014-04-24 10:39",
"Chaos","00:47","2014-04-24 09:27","2014-04-24 10:14",
"GDG","00:15","2014-04-24 09:11","2014-04-24 09:27",
"家务","02:00","2014-04-24 07:11","2014-04-24 09:11",""
"睡眠","06:53","2014-04-24 00:17","2014-04-24 07:11",""
"Chaos","01:55","2014-04-23 22:21","2014-04-24 00:17",
"交通","00:42","2014-04-23 21:39","2014-04-23 22:21",
"GDG","03:03","2014-04-23 18:35","2014-04-23 21:39",""
"GDG","01:10","2014-04-23 17:25","2014-04-23 18:35",
"Chaos","00:03","2014-04-23 17:21","2014-04-23 17:25",
"Chaos","00:00","2014-04-23 17:21","2014-04-23 17:21",
"GDG","00:59","2014-04-23 16:22","2014-04-23 17:21",
"工作","01:14","2014-04-23 15:07","2014-04-23 16:22",
"家务","00:03","2014-04-23 15:04","2014-04-23 15:07",
"交通","00:11","2014-04-23 14:52","2014-04-23 15:04",
"Chaos","02:10","2014-04-23 12:42","2014-04-23 14:52",""
"GDG","02:38","2014-04-23 10:03","2014-04-23 12:42",""
"GDG","00:00","2014-04-23 10:02","2014-04-23 10:03",
"交流","00:16","2014-04-23 09:46","2014-04-23 10:02",
"GDG","00:20","2014-04-23 09:26","2014-04-23 09:46",
"Chaos","00:21","2014-04-23 09:05","2014-04-23 09:26",
"家务","01:48","2014-04-23 07:17","2014-04-23 09:05",
"Chaos","00:06","2014-04-23 07:10","2014-04-23 07:17",
"睡眠","06:27","2014-04-23 00:43","2014-04-23 07:10",
"Chaos","00:47","2014-04-22 23:55","2014-04-23 00:43",
"家务","02:10","2014-04-22 21:45","2014-04-22 23:55",""
"GDG","00:39","2014-04-22 21:05","2014-04-22 21:45",
"Chaos","00:33","2014-04-22 20:32","2014-04-22 21:05",
"交流","00:03","2014-04-22 20:28","2014-04-22 20:31",
"Chaos","00:22","2014-04-22 20:05","2014-04-22 20:28",
"GDG","00:46","2014-04-22 19:18","2014-04-22 20:05",
"Chaos","00:45","2014-04-22 18:33","2014-04-22 19:18",
"GDG","00:34","2014-04-22 17:58","2014-04-22 18:33",
"家务","00:14","2014-04-22 17:43","2014-04-22 17:58",
"GDG","00:41","2014-04-22 17:02","2014-04-22 17:43",
"Chaos","01:04","2014-04-22 15:57","2014-04-22 17:02",
"工作","00:40","2014-04-22 15:16","2014-04-22 15:57",
"家务","00:08","2014-04-22 15:08","2014-04-22 15:16",
"Chaos","00:08","2014-04-22 15:00","2014-04-22 15:08",
"交通","00:10","2014-04-22 14:50","2014-04-22 15:00",
"Chaos","01:47","2014-04-22 13:02","2014-04-22 14:50",""
"用餐","00:22","2014-04-22 12:39","2014-04-22 13:02",
"交通","00:10","2014-04-22 12:29","2014-04-22 12:39",
"工作","00:41","2014-04-22 11:48","2014-04-22 12:29",
"Chaos","00:31","2014-04-22 11:17","2014-04-22 11:48",
"交流","00:00","2014-04-22 11:17","2014-04-22 11:17",
"GDG","01:03","2014-04-22 10:13","2014-04-22 11:17",
"家务","02:52","2014-04-22 07:21","2014-04-22 10:13",
"Chaos","00:01","2014-04-22 07:19","2014-04-22 07:21",
"睡眠","06:12","2014-04-22 01:06","2014-04-22 07:19",
"Chaos","04:34","2014-04-21 20:32","2014-04-22 01:06",
"家务","01:24","2014-04-21 19:08","2014-04-21 20:32",
"Chaos","00:00","2014-04-21 19:08","2014-04-21 19:08",
"用餐","00:07","2014-04-21 19:00","2014-04-21 19:08",
"交通","00:30","2014-04-21 18:30","2014-04-21 19:00",
"GDG","01:53","2014-04-21 16:36","2014-04-21 18:30",
"交流","00:24","2014-04-21 16:12","2014-04-21 16:36",
"Chaos","01:15","2014-04-21 14:56","2014-04-21 16:12",
"交通","00:25","2014-04-21 14:30","2014-04-21 14:56",
"Chaos","01:15","2014-04-21 13:14","2014-04-21 14:30",
"用餐","00:21","2014-04-21 12:53","2014-04-21 13:14",
"交通","00:25","2014-04-21 12:28","2014-04-21 12:53",
"工作","00:04","2014-04-21 12:23","2014-04-21 12:28",
"OBP","00:24","2014-04-21 11:59","2014-04-21 12:23",
"Chaos","00:13","2014-04-21 11:46","2014-04-21 11:59",
"OBP","00:06","2014-04-21 11:39","2014-04-21 11:46",
"工作","00:08","2014-04-21 11:31","2014-04-21 11:39",
"家务","00:30","2014-04-21 11:00","2014-04-21 11:31",
"Chaos","00:00","2014-04-21 11:00","2014-04-21 11:00",
"工作","00:21","2014-04-21 10:38","2014-04-21 11:00",
"GDG","00:14","2014-04-21 10:24","2014-04-21 10:38",
"工作","00:32","2014-04-21 09:52","2014-04-21 10:24",
"Chaos","00:43","2014-04-21 09:08","2014-04-21 09:52",
"用餐","00:45","2014-04-21 08:22","2014-04-21 09:08",
"Chaos","01:25","2014-04-21 06:57","2014-04-21 08:22",
"睡眠","06:22","2014-04-21 00:35","2014-04-21 06:57",
"Chaos","03:13","2014-04-20 21:21","2014-04-21 00:35",
"交通","03:17","2014-04-20 18:04","2014-04-20 21:21",
"GDG","04:18","2014-04-20 13:45","2014-04-20 18:04",
"Chaos","05:28","2014-04-20 08:17","2014-04-20 13:45",
"睡眠","08:41","2014-04-19 23:36","2014-04-20 08:17",
"Chaos","02:30","2014-04-19 21:05","2014-04-19 23:36",
"娱乐","03:27","2014-04-19 17:38","2014-04-19 21:05",
"GDG","03:16","2014-04-19 14:21","2014-04-19 17:38",
"用餐","01:54","2014-04-19 12:26","2014-04-19 14:21",
"家务","04:44","2014-04-19 07:42","2014-04-19 12:26",""
"睡眠","06:24","2014-04-19 01:17","2014-04-19 07:42",
"阅读","01:33","2014-04-18 23:44","2014-04-19 01:17",
"Chaos","00:54","2014-04-18 22:49","2014-04-18 23:44",
"用餐","03:44","2014-04-18 19:05","2014-04-18 22:49",
"交通","00:25","2014-04-18 18:39","2014-04-18 19:05",
"GDG","00:27","2014-04-18 18:12","2014-04-18 18:39",
"OBP","00:10","2014-04-18 18:02","2014-04-18 18:12",
"Chaos","00:23","2014-04-18 17:39","2014-04-18 18:02",
"OBP","00:23","2014-04-18 17:15","2014-04-18 17:39",
"Chaos","00:05","2014-04-18 17:10","2014-04-18 17:15",
"购物","00:56","2014-04-18 16:13","2014-04-18 17:10",
"Chaos","00:03","2014-04-18 16:10","2014-04-18 16:13",
"OBP","00:55","2014-04-18 15:14","2014-04-18 16:10",
"Chaos","00:27","2014-04-18 14:47","2014-04-18 15:14",
"工作","00:09","2014-04-18 14:37","2014-04-18 14:47",
"Chaos","01:36","2014-04-18 13:00","2014-04-18 14:37",""
"GDG","00:28","2014-04-18 12:32","2014-04-18 13:00",
"OBP","01:00","2014-04-18 11:32","2014-04-18 12:32",
"工作","01:29","2014-04-18 10:02","2014-04-18 11:32",
"Chaos","00:17","2014-04-18 09:45","2014-04-18 10:02",
"GDG","00:55","2014-04-18 08:49","2014-04-18 09:45",
"Chaos","00:09","2014-04-18 08:40","2014-04-18 08:49",
"家务","01:40","2014-04-18 07:00","2014-04-18 08:40",""
"睡眠","06:36","2014-04-18 00:23","2014-04-18 07:00",""
"Chaos","03:31","2014-04-17 20:52","2014-04-18 00:23",
"家务","00:24","2014-04-17 20:27","2014-04-17 20:52",
"用餐","02:16","2014-04-17 18:10","2014-04-17 20:27",
"OBP","00:23","2014-04-17 17:46","2014-04-17 18:10",
"工作","00:24","2014-04-17 17:22","2014-04-17 17:46",
"OBP","00:29","2014-04-17 16:53","2014-04-17 17:22",
"工作","00:11","2014-04-17 16:42","2014-04-17 16:53",
"家务","00:03","2014-04-17 16:38","2014-04-17 16:42",
"OBP","00:25","2014-04-17 16:13","2014-04-17 16:38",
"Chaos","00:18","2014-04-17 15:55","2014-04-17 16:13",
"OBP","00:05","2014-04-17 15:49","2014-04-17 15:55",
"Chaos","00:07","2014-04-17 15:41","2014-04-17 15:49",
"家务","00:07","2014-04-17 15:34","2014-04-17 15:41",
"工作","00:39","2014-04-17 14:55","2014-04-17 15:34",
"Chaos","00:03","2014-04-17 14:52","2014-04-17 14:55",
"家务","01:53","2014-04-17 12:59","2014-04-17 14:52",
"工作","00:45","2014-04-17 12:13","2014-04-17 12:59",""
"交流","00:00","2014-04-17 12:13","2014-04-17 12:13",
"工作","00:21","2014-04-17 11:51","2014-04-17 12:13",
"交流","00:52","2014-04-17 10:58","2014-04-17 11:51",
"Chaos","01:07","2014-04-17 09:50","2014-04-17 10:58",
"GDG","00:55","2014-04-17 08:55","2014-04-17 09:50",
"用餐","00:48","2014-04-17 08:06","2014-04-17 08:55",
"交通","00:05","2014-04-17 08:01","2014-04-17 08:06",
"家务","00:43","2014-04-17 07:17","2014-04-17 08:01",
"Chaos","00:00","2014-04-17 07:17","2014-04-17 07:17",
"睡眠","06:45","2014-04-17 00:31","2014-04-17 07:17",
"Chaos","03:10","2014-04-16 21:21","2014-04-17 00:31",""
"Chaos","00:17","2014-04-16 21:04","2014-04-16 21:21",
"交流","01:02","2014-04-16 20:01","2014-04-16 21:04",""
"GDG","00:19","2014-04-16 19:42","2014-04-16 20:01",
"工作","01:09","2014-04-16 18:33","2014-04-16 19:42",""
"交流","00:00","2014-04-16 18:33","2014-04-16 18:33",
"工作","01:40","2014-04-16 16:52","2014-04-16 18:33",
"Chaos","00:14","2014-04-16 16:38","2014-04-16 16:52",
"工作","01:01","2014-04-16 15:36","2014-04-16 16:38",
"GDG","01:01","2014-04-16 14:34","2014-04-16 15:36",""
"交通","00:12","2014-04-16 14:22","2014-04-16 14:34",
"Chaos","01:17","2014-04-16 13:05","2014-04-16 14:22",
"交通","00:05","2014-04-16 13:00","2014-04-16 13:05",
"用餐","00:31","2014-04-16 12:28","2014-04-16 13:00",""
"工作","01:11","2014-04-16 11:16","2014-04-16 12:28",
"家务","00:10","2014-04-16 11:06","2014-04-16 11:16",
"工作","00:35","2014-04-16 10:30","2014-04-16 11:06",
"GDG","00:26","2014-04-16 10:03","2014-04-16 10:30",
"OBP","00:00","2014-04-16 10:03","2014-04-16 10:03",
"购物","00:26","2014-04-16 09:37","2014-04-16 10:03",
"GDG","00:22","2014-04-16 09:15","2014-04-16 09:37",
"Chaos","00:15","2014-04-16 08:59","2014-04-16 09:15",
"工作","00:21","2014-04-16 08:38","2014-04-16 08:59",
"Chaos","01:34","2014-04-16 07:03","2014-04-16 08:38",
"睡眠","05:56","2014-04-16 01:06","2014-04-16 07:03",
"Chaos","03:26","2014-04-15 21:40","2014-04-16 01:06",""
"GDG","01:24","2014-04-15 20:15","2014-04-15 21:40",""
"交流","00:00","2014-04-15 20:15","2014-04-15 20:15",
"Chaos","00:14","2014-04-15 20:01","2014-04-15 20:15",
"OBP","01:00","2014-04-15 19:01","2014-04-15 20:01",
"GDG","01:08","2014-04-15 17:53","2014-04-15 19:01",
"交流","00:30","2014-04-15 17:22","2014-04-15 17:53",
"工作","01:08","2014-04-15 16:14","2014-04-15 17:22",""
"GDG","01:35","2014-04-15 14:39","2014-04-15 16:14",
"交通","00:16","2014-04-15 14:22","2014-04-15 14:39",
"Chaos","02:12","2014-04-15 12:10","2014-04-15 14:22",""
"工作","00:28","2014-04-15 11:42","2014-04-15 12:10",
"Chaos","00:09","2014-04-15 11:32","2014-04-15 11:42",
"运动","00:02","2014-04-15 11:29","2014-04-15 11:32",
"Chaos","00:22","2014-04-15 11:06","2014-04-15 11:29",
"购物","00:04","2014-04-15 11:02","2014-04-15 11:06",
"购物","00:00","2014-04-15 11:02","2014-04-15 11:02",
"交流","00:24","2014-04-15 10:37","2014-04-15 11:02",
"Chaos","00:33","2014-04-15 10:04","2014-04-15 10:37",
"GDG","01:03","2014-04-15 09:01","2014-04-15 10:04",
"交通","01:02","2014-04-15 07:59","2014-04-15 09:01",
"家务","00:48","2014-04-15 07:10","2014-04-15 07:59",
"Chaos","00:00","2014-04-15 07:10","2014-04-15 07:10",
"睡眠","07:02","2014-04-15 00:08","2014-04-15 07:10",
"阅读","00:47","2014-04-14 23:21","2014-04-15 00:08",
"Chaos","02:28","2014-04-14 20:52","2014-04-14 23:20",
"家务","00:28","2014-04-14 20:23","2014-04-14 20:52",
"交通","00:11","2014-04-14 20:12","2014-04-14 20:23",
"家务","00:41","2014-04-14 19:30","2014-04-14 20:12",
"用餐","00:21","2014-04-14 19:08","2014-04-14 19:30",
"交通","00:24","2014-04-14 18:44","2014-04-14 19:08",
"OBP","00:48","2014-04-14 17:55","2014-04-14 18:44",
"工作","01:00","2014-04-14 16:54","2014-04-14 17:55",
"Chaos","00:04","2014-04-14 16:49","2014-04-14 16:54",
"GDG","00:00","2014-04-14 15:35","2014-04-14 15:35",
"GDG","01:14","2014-04-14 15:35","2014-04-14 16:49",
"Chaos","00:38","2014-04-14 14:56","2014-04-14 15:35",
"交通","00:14","2014-04-14 14:42","2014-04-14 14:56",
"Chaos","00:44","2014-04-14 13:57","2014-04-14 14:42",
"用餐","01:00","2014-04-14 12:57","2014-04-14 13:57",
"交通","00:20","2014-04-14 12:37","2014-04-14 12:57",
"GDG","01:02","2014-04-14 11:35","2014-04-14 12:37",
"家务","01:04","2014-04-14 10:30","2014-04-14 11:35",
"GDG","01:20","2014-04-14 09:10","2014-04-14 10:30",
"Chaos","00:26","2014-04-14 08:43","2014-04-14 09:10",
"交通","00:42","2014-04-14 08:01","2014-04-14 08:43",
"Chaos","00:00","2014-04-14 08:01","2014-04-14 08:01",
"家务","00:51","2014-04-14 07:10","2014-04-14 08:01",
"睡眠","06:00","2014-04-14 01:10","2014-04-14 07:10",""
"Chaos","02:47","2014-04-13 22:22","2014-04-14 01:10",""
"Chaos","02:17","2014-04-13 20:05","2014-04-13 22:22",""
"交通","00:39","2014-04-13 19:25","2014-04-13 20:05",""
"交流","03:00","2014-04-13 16:25","2014-04-13 19:26",""
"家务","07:50","2014-04-13 08:34","2014-04-13 16:25",""
"睡眠","07:42","2014-04-13 00:52","2014-04-13 08:34",
"Chaos","00:43","2014-04-13 00:09","2014-04-13 00:52",
"Chaos","03:48","2014-04-12 20:22","2014-04-13 00:10",""
"用餐","01:37","2014-04-12 18:31","2014-04-12 20:09",""
"家务","01:31","2014-04-12 17:00","2014-04-12 18:31",
"Chaos","00:10","2014-04-12 16:50","2014-04-12 17:00",
"睡眠","02:54","2014-04-12 13:55","2014-04-12 16:50",
"Chaos","00:28","2014-04-12 13:27","2014-04-12 13:55",
"家务","00:00","2014-04-12 13:26","2014-04-12 13:27",
"交通","00:12","2014-04-12 13:14","2014-04-12 13:26",
"用餐","00:34","2014-04-12 12:40","2014-04-12 13:14",
"交通","00:00","2014-04-12 12:39","2014-04-12 12:40",
"家务","03:39","2014-04-12 08:59","2014-04-12 12:39",
"交通","00:20","2014-04-12 08:39","2014-04-12 08:59",
"Chaos","00:54","2014-04-12 07:45","2014-04-12 08:39",
"睡眠","07:25","2014-04-12 00:19","2014-04-12 07:45",
"Chaos","00:29","2014-04-11 23:50","2014-04-12 00:19",
"家务","01:20","2014-04-11 22:30","2014-04-11 23:50",
"交通","00:28","2014-04-11 22:02","2014-04-11 22:30",
"用餐","00:43","2014-04-11 21:19","2014-04-11 22:02",
"交通","00:00","2014-04-11 21:19","2014-04-11 21:19",
